Year,Country,NumPub,TopJournal,FracTop
1992.0,SL,9,3.0,0.3333333333333333
1992.0,SM,1,0.0,0.0
1992.0,SN,68,27.0,0.39705882352941174
1992.0,SO,11,4.0,0.36363636363636365
1992.0,SR,5,0.0,0.0
1992.0,SS,61,40.0,0.6557377049180327
1992.0,ST,8,5.0,0.625
1992.0,SV,16,1.0,0.0625
1992.0,SY,62,34.0,0.5483870967741935
1992.0,SZ,8,3.0,0.375
1992.0,TD,2,1.0,0.5
1992.0,TG,4,0.0,0.0
1992.0,TH,737,307.0,0.41655359565807326
1992.0,TJ,28,13.0,0.4642857142857143
1992.0,TM,5,1.0,0.2
1992.0,TN,254,52.0,0.2047244094488189
1992.0,TR,1670,816.0,0.48862275449101794
1992.0,TT,36,16.0,0.4444444444444444
1992.0,TV,1,0.0,0.0
1992.0,TW,5361,2877.0,0.5366536094012311
1992.0,TZ,162,83.0,0.5123456790123457
1992.0,UA,1247,474.0,0.38011226944667204
1992.0,UG,143,96.0,0.6713286713286714
1992.0,US,241405,167572.0,0.6941529794329032
1992.0,UY,101,53.0,0.5247524752475248
1992.0,UZ,162,97.0,0.5987654320987654
1992.0,VA,1,0.0,0.0
1992.0,VC,1,0.0,0.0
1992.0,VE,512,257.0,0.501953125
1992.0,VG,64,36.0,0.5625
1992.0,VN,135,64.0,0.4740740740740741
1992.0,VU,4,1.0,0.25
1992.0,WS,7,3.0,0.42857142857142855
1992.0,XK,1,1.0,1.0
1992.0,YE,20,8.0,0.4
1992.0,ZA,3490,1794.0,0.5140401146131806
1992.0,ZM,50,18.0,0.36
1992.0,ZW,201,90.0,0.44776119402985076
1993.0,AD,2,1.0,0.5
1993.0,AE,226,155.0,0.6858407079646017
1993.0,AF,1,0.0,0.0
1993.0,AL,78,12.0,0.15384615384615385
1993.0,AM,176,83.0,0.4715909090909091
1993.0,AO,14,10.0,0.7142857142857143
1993.0,AR,1715,927.0,0.5405247813411078
1993.0,AT,3606,2035.0,0.5643372157515253
1993.0,AU,15225,10171.0,0.6680459770114943
1993.0,AX,2,1.0,0.5
1993.0,AZ,58,30.0,0.5172413793103449
1993.0,BA,23,10.0,0.43478260869565216
1993.0,BB,30,10.0,0.3333333333333333
1993.0,BD,326,176.0,0.5398773006134969
1993.0,BE,6256,3980.0,0.6361892583120204
1993.0,BF,19,9.0,0.47368421052631576
1993.0,BG,1256,707.0,0.5628980891719745
1993.0,BH,125,41.0,0.328
1993.0,BI,32,18.0,0.5625
1993.0,BJ,29,13.0,0.4482758620689655
1993.0,BM,4,2.0,0.5
1993.0,BN,11,2.0,0.18181818181818182
1993.0,BO,23,8.0,0.34782608695652173
1993.0,BR,4969,2132.0,0.42906017307305294
1993.0,BS,3,2.0,0.6666666666666666
1993.0,BT,2,0.0,0.0
1993.0,BW,34,19.0,0.5588235294117647
1993.0,BY,487,223.0,0.45790554414784396
1993.0,BZ,18,9.0,0.5
1993.0,CA,29160,19261.0,0.6605281207133059
1993.0,CD,22,10.0,0.45454545454545453
1993.0,CF,4,3.0,0.75
1993.0,CG,22,7.0,0.3181818181818182
1993.0,CH,8879,5947.0,0.6697826331794121
1993.0,CI,44,17.0,0.38636363636363635
1993.0,CL,1297,504.0,0.38858905165767155
1993.0,CM,118,63.0,0.5338983050847458
1993.0,CN,12468,5547.0,0.44489894128970164
