PublicationId,AuthorId,AffiliationId,Year,Date,JournalId,DocType,C10,Ctotal
2070248877,2537508914,97429440.0,1993.0,1993-11-22,3006207977.0,j,6.0,18.0
1967706085,2537508914,32971472.0,1993.0,1993-04-01,9731383.0,j,37.0,134.0
1950819331,2537508914,98677209.0,1994.0,1994-05-01,5555990.0,j,24.0,38.0
2486670428,2537508914,0.0,1995.0,1995-01-01,0.0,0,0.0,0.0
2488600065,2537508914,0.0,1995.0,1995-01-01,0.0,0,0.0,0.0
2488975109,2537508914,0.0,1995.0,1995-01-01,0.0,0,0.0,0.0
2563139191,2537508914,0.0,1995.0,1995-01-01,0.0,0,0.0,0.0
2067119636,2537508914,97429440.0,1995.0,1995-01-01,109113098.0,j,21.0,35.0
2154555807,2537508914,98677209.0,1998.0,1998-09-01,171130801.0,j,9.0,12.0
2132506756,2537508914,0.0,2001.0,2001-01-01,197402693.0,j,25.0,38.0
1532426005,2537508914,32971472.0,2008.0,2008-05-27,0.0,0,2.0,2.0
2008147440,2537508914,0.0,2015.0,2015-10-21,192525298.0,j,0.0,0.0
2407444275,2537508914,0.0,2015.0,2015-08-01,11380747.0,j,0.0,0.0
2315088235,2537508914,22188714.0,2016.0,2016-03-30,49731288.0,j,11.0,11.0
3094922451,2537508914,0.0,2017.0,2017-01-01,0.0,0,0.0,0.0
2591596859,2537508914,22188714.0,2017.0,2017-04-20,104261359.0,j,4.0,4.0
2890133965,2537508914,22188714.0,2018.0,2018-11-01,178566096.0,j,0.0,0.0
2801633060,2537508914,22188714.0,2018.0,2018-08-01,178566096.0,j,10.0,10.0
2892071667,2537508914,22188714.0,2019.0,2019-01-01,104261359.0,j,3.0,3.0
2891301900,2537508914,22188714.0,2019.0,2019-01-01,104261359.0,j,3.0,3.0
3007872483,2537508914,28407311.0,2020.0,2020-02-26,116045149.0,j,9.0,9.0
3016880417,2537508914,0.0,2020.0,2020-04-01,30525748.0,j,0.0,0.0
3031119020,2537508914,47508984.0,2020.0,2020-05-25,15137598.0,j,2.0,2.0
3044422154,2537508914,22188714.0,2020.0,2020-12-15,104261359.0,j,2.0,2.0
3047158605,2537508914,0.0,2020.0,2020-01-01,0.0,0,0.0,0.0
3099413969,2537508914,28407311.0,2020.0,2020-01-22,2596326592.0,r,6.0,6.0
3118350664,2537508914,22188714.0,2020.0,2020-12-25,2764934221.0,j,0.0,0.0
3044422154,2537508914,1319689352.0,2020.0,2020-12-15,104261359.0,j,2.0,2.0
3087533710,2537508914,1319689352.0,2021.0,2021-05-01,91749377.0,j,0.0,0.0
3087533710,2537508914,22188714.0,2021.0,2021-05-01,91749377.0,j,0.0,0.0
3128713177,2537508914,47508984.0,2021.0,2021-03-01,2756165422.0,j,8.0,8.0
3131914302,2537508914,47508984.0,2021.0,2021-02-25,79054089.0,j,1.0,1.0
3139367741,2537508914,2802286613.0,2021.0,2021-03-11,2594976040.0,j,0.0,0.0
3174733134,2537508914,1319689352.0,2021.0,2021-06-21,91749377.0,j,0.0,0.0
